project_name,project_url
apache / spark,https://github.com/apache/spark
apache / hadoop,https://github.com/apache/hadoop
jbhuang0604 / awesome-computer-vision,https://github.com/jbhuang0604/awesome-computer-vision
GSA / data,https://github.com/GSA/data
GoogleTrends / data,https://github.com/GoogleTrends/data
nationalparkservice / data,https://github.com/nationalparkservice/data
fivethirtyeight / data,https://github.com/fivethirtyeight/data
beamandrew / medical-data,https://github.com/beamandrew/medical-data
src-d / awesome-machine-learning-on-source-code,https://github.com/src-d/awesome-machine-learning-on-source-code
igrigorik / decisiontree,https://github.com/igrigorik/decisiontree
keon / awesome-nlp,https://github.com/keon/awesome-nlp
openai / gym,https://github.com/openai/gym
aikorea / awesome-rl,https://github.com/aikorea/awesome-rl
umutisik / Eigentechno,https://github.com/umutisik/Eigentechno
jpmckinney / tf-idf-similarity,https://github.com/jpmckinney/tf-idf-similarity
scikit-learn-contrib / lightning,https://github.com/scikit-learn-contrib/lightning
gwding / draw_convnet,https://github.com/gwding/draw_convnet
scikit-learn / scikit-learn,https://github.com/scikit-learn/scikit-learn
tensorflow / tensorflow,https://github.com/tensorflow/tensorflow
activeloopai / deeplake,https://github.com/activeloopai/deeplake
